1/1/2020,1
1/2/2020,3
1/3/2020,2
1/4/2020,2
1/5/2020,2
1/6/2020,3
1/7/2020,2
1/8/2020,4
1/9/2020,2
1/10/2020,2
1/11/2020,3
1/12/2020,3
1/14/2020,2
1/15/2020,5
1/16/2020,3
1/17/2020,4
1/18/2020,4
1/20/2020,4
1/21/2020,1
1/23/2020,4
1/24/2020,8
1/25/2020,4
1/26/2020,4
1/27/2020,3
1/28/2020,9
1/29/2020,2
1/30/2020,4
1/31/2020,5
2/1/2020,7
2/2/2020,6
2/3/2020,3
2/4/2020,4
2/5/2020,3
2/6/2020,3
2/7/2020,3
2/8/2020,6
2/9/2020,6
2/10/2020,3
2/11/2020,1
2/12/2020,3
2/13/2020,2
2/15/2020,3
2/16/2020,3
2/17/2020,10
2/18/2020,3
2/19/2020,1
2/20/2020,3
2/21/2020,2
2/22/2020,4
2/23/2020,1
2/24/2020,6
2/25/2020,1
2/26/2020,2
2/27/2020,3
2/28/2020,2
2/29/2020,6
3/1/2020,1
3/2/2020,2
3/3/2020,3
3/4/2020,3
3/5/2020,5
3/6/2020,7
3/7/2020,2
3/8/2020,4
3/9/2020,5
3/10/2020,1
3/11/2020,2
3/12/2020,2
3/13/2020,2
3/14/2020,2
3/15/2020,3
3/16/2020,2
3/17/2020,6
3/18/2020,1
3/20/2020,1
3/21/2020,4
3/22/2020,1
3/23/2020,2
3/24/2020,4
3/25/2020,4
3/26/2020,2
3/27/2020,3
3/28/2020,1
3/29/2020,5
3/30/2020,4
3/31/2020,6
4/1/2020,2
4/2/2020,7
4/3/2020,5
4/4/2020,2
4/5/2020,7
4/6/2020,1
4/7/2020,2
4/8/2020,5
4/9/2020,2
4/10/2020,6
4/11/2020,4
4/12/2020,4
4/13/2020,2
4/14/2020,3
4/15/2020,7
4/16/2020,4
4/17/2020,5
4/18/2020,5
4/19/2020,4
4/20/2020,3
4/21/2020,2
4/22/2020,2
4/23/2020,2
4/24/2020,6
4/25/2020,4
4/26/2020,3
4/27/2020,2
4/28/2020,4
4/29/2020,5
4/30/2020,6
5/1/2020,2
5/3/2020,4
5/4/2020,3
5/5/2020,4
5/6/2020,5
5/7/2020,2
5/9/2020,5
5/10/2020,3
5/11/2020,7
5/12/2020,2
5/13/2020,2
5/14/2020,3
5/15/2020,3
5/16/2020,5
5/17/2020,7
5/18/2020,2
5/19/2020,6
5/20/2020,3
5/21/2020,3
5/22/2020,1
5/23/2020,4
5/24/2020,3
5/25/2020,2
5/26/2020,2
5/27/2020,7
5/28/2020,1
5/29/2020,1
5/30/2020,4
5/31/2020,6
6/1/2020,8
6/2/2020,6
6/3/2020,3
6/4/2020,2
6/6/2020,6
6/7/2020,3
6/8/2020,2
6/9/2020,6
6/10/2020,6
6/11/2020,1
6/12/2020,5
6/13/2020,1
6/14/2020,4
6/15/2020,1
6/16/2020,3
6/17/2020,2
6/18/2020,3
6/19/2020,4
6/20/2020,1
6/21/2020,1
6/22/2020,2
6/23/2020,4
6/24/2020,5
6/25/2020,2
6/26/2020,4
6/27/2020,2
6/28/2020,2
6/29/2020,2
6/30/2020,1
7/1/2020,5
7/2/2020,2
7/3/2020,4
7/4/2020,3
7/5/2020,6
7/6/2020,4
7/7/2020,2
7/8/2020,2
7/10/2020,4
7/11/2020,3
7/12/2020,4
7/13/2020,3
7/14/2020,3
7/15/2020,4
7/16/2020,4
7/17/2020,5
7/18/2020,2
7/19/2020,3
7/20/2020,4
7/21/2020,2
7/22/2020,1
7/23/2020,3
7/24/2020,5
7/25/2020,6
7/26/2020,5
7/27/2020,2
7/28/2020,3
7/29/2020,3
7/30/2020,4
7/31/2020,4
8/1/2020,7
8/2/2020,6
8/3/2020,4
8/4/2020,7
8/5/2020,3
8/6/2020,2
8/7/2020,3
8/8/2020,1
8/9/2020,6
8/10/2020,1
8/11/2020,4
8/12/2020,5
8/13/2020,5
8/14/2020,5
8/15/2020,4
8/16/2020,4
8/17/2020,4
8/18/2020,5
8/19/2020,2
8/20/2020,9
8/21/2020,4
8/22/2020,6
8/23/2020,3
8/24/2020,1
8/25/2020,2
8/26/2020,1
8/27/2020,4
8/28/2020,5
8/30/2020,3
8/31/2020,1
9/1/2020,1
9/2/2020,3
9/3/2020,5
9/4/2020,4
9/5/2020,7
9/6/2020,4
9/7/2020,2
9/8/2020,2
9/9/2020,3
9/10/2020,3
9/11/2020,2
9/12/2020,1
9/13/2020,5
9/14/2020,1
9/15/2020,5
9/16/2020,2
9/17/2020,4
9/18/2020,2
9/19/2020,4
9/20/2020,8
9/21/2020,4
9/22/2020,2
9/23/2020,3
9/24/2020,6
9/25/2020,1
9/26/2020,3
9/27/2020,1
9/28/2020,4
9/29/2020,2
9/30/2020,3
10/1/2020,1
10/2/2020,2
10/3/2020,4
10/4/2020,5
10/5/2020,4
10/6/2020,1
10/7/2020,1
10/8/2020,4
10/9/2020,5
10/10/2020,3
10/11/2020,3
10/12/2020,2
10/13/2020,2
10/14/2020,5
10/15/2020,3
10/16/2020,4
10/17/2020,4
10/18/2020,8
10/20/2020,3
10/21/2020,4
10/22/2020,3
10/23/2020,1
10/24/2020,3
10/25/2020,5
10/26/2020,6
